Institution,Funder,Number
"BMU Annaba, Algeria",AVHF Germany,0
"BMU Annaba, Algeria",BDC Belgium,0
"BMU Annaba, Algeria",DAAD Germany,0
"BMU Annaba, Algeria",DFID UK,0
"BMU Annaba, Algeria",DFS Germany,0
"BMU Annaba, Algeria",GMECD Germany,0
"BMU Annaba, Algeria",IAEA Austria,0
"BMU Annaba, Algeria",SIDA Sweden,0
"BMU Annaba, Algeria",TWAS Italy,0
"BMU Annaba, Algeria",USDA-ARS USA,0
"BMU Annaba, Algeria",WT UK,0
"BMU Annaba, Algeria",ICIPE Kenya,0
"BMU Annaba, Algeria",IFAD Kenya,0
"BMU Annaba, Algeria",KG Kenya,0
"BMU Annaba, Algeria","MHESR, Algeria",0
"BMU Annaba, Algeria",NFSR Algeria,6
"BMU Annaba, Algeria",NRF South Africa,0
"BMU Annaba, Algeria",TMHESR Tunisia,0
"BMU Annaba, Algeria",Other funders,1
"FUT Akure, Nigeria",AVHF Germany,0
"FUT Akure, Nigeria",BDC Belgium,0
"FUT Akure, Nigeria",DAAD Germany,0
"FUT Akure, Nigeria",DFID UK,0
"FUT Akure, Nigeria",DFS Germany,0
"FUT Akure, Nigeria",GMECD Germany,0
"FUT Akure, Nigeria",IAEA Austria,0
"FUT Akure, Nigeria",SIDA Sweden,0
"FUT Akure, Nigeria",TWAS Italy,3
"FUT Akure, Nigeria",USDA-ARS USA,0
"FUT Akure, Nigeria",WT UK,0
"FUT Akure, Nigeria",ICIPE Kenya,0
"FUT Akure, Nigeria",IFAD Kenya,0
"FUT Akure, Nigeria",KG Kenya,0
"FUT Akure, Nigeria","MHESR, Algeria",0
"FUT Akure, Nigeria",NFSR Algeria,0
"FUT Akure, Nigeria",NRF South Africa,0
"FUT Akure, Nigeria",TMHESR Tunisia,0
"FUT Akure, Nigeria",Other funders,3
"ICIPE Nairobi, Kenya",AVHF Germany,0
"ICIPE Nairobi, Kenya",BDC Belgium,0
"ICIPE Nairobi, Kenya",DAAD Germany,3
"ICIPE Nairobi, Kenya",DFID UK,3
"ICIPE Nairobi, Kenya",DFS Germany,0
"ICIPE Nairobi, Kenya",GMECD Germany,3
"ICIPE Nairobi, Kenya",IAEA Austria,2
"ICIPE Nairobi, Kenya",SIDA Sweden,4
"ICIPE Nairobi, Kenya",TWAS Italy,0
"ICIPE Nairobi, Kenya",USDA-ARS USA,4
"ICIPE Nairobi, Kenya",WT UK,0
"ICIPE Nairobi, Kenya",ICIPE Kenya,5
"ICIPE Nairobi, Kenya",IFAD Kenya,4
"ICIPE Nairobi, Kenya",KG Kenya,3
"ICIPE Nairobi, Kenya","MHESR, Algeria",0
"ICIPE Nairobi, Kenya",NFSR Algeria,0
"ICIPE Nairobi, Kenya",NRF South Africa,0
"ICIPE Nairobi, Kenya",TMHESR Tunisia,0
"ICIPE Nairobi, Kenya",Other funders,11
"IITA Cotonou, Benin",AVHF Germany,0
"IITA Cotonou, Benin",BDC Belgium,0
"IITA Cotonou, Benin",DAAD Germany,0
