Country,Latitude1,Longitude1,Country of external collaboration 1,Country of external collaboration,Latitude2,Longitude2,Continent
Kenya,-0.023559,37.906193,Australia,Australia,-25.274398,133.775136,Oceanea
Nigeria,9.081999,8.675277,Australia,Australia,-25.274398,133.775136,Oceanea
Nigeria,9.081999,8.675277,Australia,Australia,-25.274398,133.775136,Oceanea
South Africa,-30.559482,22.937506,Australia,Australia,-25.274398,133.775136,Oceanea
Benin,9.30769,2.315834,Belgium,Belgium,50.503887,4.469936,Europe
Kenya,-0.023559,37.906193,Belgium,Belgium,50.503887,4.469936,Europe
Morocco,31.791702,-7.09262,Belgium,Belgium,50.503887,4.469936,Europe
Morocco,31.791702,-7.09262,Belgium,Belgium,50.503887,4.469936,Europe
Tanzania,-6.369028,34.888822,Belgium,Belgium,50.503887,4.469936,Europe
Tanzania,-6.369028,34.888822,Belgium,Belgium,50.503887,4.469936,Europe
Tanzania,-6.369028,34.888822,Belgium,Belgium,50.503887,4.469936,Europe
Tanzania,-6.369028,34.888822,Belgium,Belgium,50.503887,4.469936,Europe
Tanzania,-6.369028,34.888822,Belgium,Belgium,50.503887,4.469936,Europe
Nigeria,9.081999,8.675277,Belgium,Belgium,50.503887,4.469936,Europe
Nigeria,9.081999,8.675277,Brazil,Brazil,-14.235004,-51.92528,South America
Nigeria,9.081999,8.675277,Brazil,Brazil,-14.235004,-51.92528,South America
Nigeria,9.081999,8.675277,Brazil,Brazil,-14.235004,-51.92528,South America
Nigeria,9.081999,8.675277,Brazil,Brazil,-14.235004,-51.92528,South America
Nigeria,9.081999,8.675277,Brazil,Brazil,-14.235004,-51.92528,South America
South Africa,-30.559482,22.937506,Czech Republic,Czech Republic,49.817492,15.472962,Europe
South Africa,-30.559482,22.937506,Czech Republic,Czech Republic,49.817492,15.472962,Europe
South Africa,-30.559482,22.937506,Czech Republic,Czech Republic,49.817492,15.472962,Europe
Algeria,28.033886,1.659626,France,France,46.227638,2.213749,Europe
Algeria,28.033886,1.659626,France,France,46.227638,2.213749,Europe
Algeria,28.033886,1.659626,France,France,46.227638,2.213749,Europe
Algeria,28.033886,1.659626,France,France,46.227638,2.213749,Europe
Benin,9.30769,2.315834,France,France,46.227638,2.213749,Europe
Benin,9.30769,2.315834,France,France,46.227638,2.213749,Europe
Benin,9.30769,2.315834,France,France,46.227638,2.213749,Europe
Morocco,31.791702,-7.09262,France,France,46.227638,2.213749,Europe
Morocco,31.791702,-7.09262,France,France,46.227638,2.213749,Europe
Tunisia,33.886917,9.537499,France,France,46.227638,2.213749,Europe
Tunisia,33.886917,9.537499,France,France,46.227638,2.213749,Europe
Cameroon,7.369722,12.354722,Germany,Germany,51.165691,10.451526,Europe
Cameroon,7.369722,12.354722,Germany,Germany,51.165691,10.451526,Europe
Cameroon,7.369722,12.354722,Germany,Germany,51.165691,10.451526,Europe
Cameroon,7.369722,12.354722,Germany,Germany,51.165691,10.451526,Europe
Cameroon,7.369722,12.354722,Germany,Germany,51.165691,10.451526,Europe
Kenya,-0.023559,37.906193,Germany,Germany,51.165691,10.451526,Europe
Mozambique,-18.665695,35.529562,Germany,Germany,51.165691,10.451526,Europe
